"Month","Average daily cargo flights","Average daily passenger flights","Average flight distance (NM)","Average_daily_flights","Percent_Change_from_Start_Day","Cargo_Flights_Percent_Change","Passenger_Flights_Percent_Change","Flight_Distance_Percent_Change"
2019-01-01,30,157,4721.9487899508,187,0,0,0,0
2019-02-01,23.25,151.678571428571,4717.24064737756,174.928571428571,-6.45530939648587,-22.5,-3.38944494995451,-0.0997076161280583
2019-03-01,32.5806451612903,160.741935483871,4744.35578817438,193.322580645161,3.38105916853544,8.6021505376344,2.38339839737005,0.474528615627236
2019-04-01,32.7666666666667,180.5,4719.34733822572,213.266666666667,14.0463458110517,9.22222222222222,14.968152866242,-0.0550927559955489
2019-05-01,30.7096774193548,183.258064516129,4702.6986662255,213.967741935484,14.4212523719165,2.36559139784947,16.724881857407,-0.40767328451905
2019-06-01,30.1666666666667,191.133333333333,4674.96594707953,221.3,18.3422459893048,0.555555555555559,21.7409766454353,-0.994988403331636
2019-07-01,29.5806451612903,196.032258064516,4669.401734044,225.612903225806,20.6486113506986,-1.39784946236559,24.8613108691186,-1.1128256201895
2019-08-01,28.7096774193548,193.838709677419,4668.96016403561,222.548387096774,19.0098326720718,-4.3010752688172,23.4641462913499,-1.12217705596391
2019-09-01,30.7,195.433333333333,4680.4374245912,226.133333333333,20.9269162210339,2.33333333333333,24.47983014862,-0.879115111285069
2019-10-01,30.1290322580645,185.58064516129,4687.17609902218,215.709677419355,15.3527686734518,0.43010752688172,18.2042325868091,-0.736405507036078
2019-11-01,34.9,166.866666666667,4703.49147141647,201.766666666667,7.89661319073084,16.3333333333333,6.28450106157113,-0.390883496526157
2019-12-01,31.9677419354839,161.064516129032,4708.38374190506,193.032258064516,3.2258064516129,6.55913978494624,2.58886377645367,-0.287276475225838
2020-01-01,27.8387096774194,162.451612903226,4706.16419861242,190.290322580645,1.75953079178885,-7.20430107526881,3.47236490651324,-0.334281290216036
2020-02-01,19.3448275862069,56.3448275862069,4856.42837109704,75.6896551724138,-59.5242485709017,-35.5172413793103,-64.1115747858555,2.8479678016084
2020-03-01,25.3870967741935,36.5806451612903,4921.45156268471,61.9677419354839,-66.8621700879765,-15.3763440860215,-76.700226011917,4.22500924106762
2020-04-01,31.2,85.2333333333333,4842.91782179393,116.433333333333,-37.7361853832442,4,-45.7112526539278,2.56184548423242
2020-05-01,33.2258064516129,156.064516129032,4794.79885514802,189.290322580645,1.22477143350008,10.752688172043,-0.595849599342512,1.54279659602107
2020-06-01,36.4666666666667,102.633333333333,4818.85855274789,139.1,-25.6149732620321,21.5555555555556,-34.6284501061571,2.05232557801822
2020-07-01,32.8064516129032,59,4881.66801562012,91.8064516129032,-50.9056408487149,9.35483870967741,-62.4203821656051,3.38248534184088
